book,book_abbr,book_order,chapter,chapter_abbr,chapter_order,image_urls,images
The Eye of the World,TEOTW,2,Chapter 32: Four Kings in Shadow,2,61,https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/3c/Dragon%27s_Fang_Chapter_Icon.png/150px-Dragon%27s_Fang_Chapter_Icon.png', 'path': 'full/e0499e6fb77d41e53a75bac8662ee87bb017e51c.jpg', 'checksum': '45b6872cbc561616e4e0f6543a4544ba'}]"
The Eye of the World,TEOTW,2,Chapter 33: The Dark Waits,3,62,https://library.tarvalon.net/images/thumb/c/cb/Heron-Marked_Sword_Chapter_Icon_Square.png/150px-Heron-Marked_Sword_Chapter_Icon_Square.png,"[{'url': 'https://library.tarvalon.net/images/thumb/c/cb/Heron-Marked_Sword_Chapter_Icon_Square.png/150px-Heron-Marked_Sword_Chapter_Icon_Square.png', 'path': 'full/2a713bd881ffef9b71de880a94da798f50cc4519.jpg', 'checksum': 'be7cfe986aa19035a1e88022e5e1e435'}]"
The Eye of the World,TEOTW,2,Chapter 31: Play for your Supper,1,60,https://library.tarvalon.net/images/thumb/c/cb/Heron-Marked_Sword_Chapter_Icon_Square.png/150px-Heron-Marked_Sword_Chapter_Icon_Square.png,"[{'url': 'https://library.tarvalon.net/images/thumb/c/cb/Heron-Marked_Sword_Chapter_Icon_Square.png/150px-Heron-Marked_Sword_Chapter_Icon_Square.png', 'path': 'full/2a713bd881ffef9b71de880a94da798f50cc4519.jpg', 'checksum': 'be7cfe986aa19035a1e88022e5e1e435'}]"
The Eye of the World,TEOTW,2,Chapter 30: Children of Shadow,0,59,https://library.tarvalon.net/images/thumb/9/9d/Sunburst_Chapter_Icon.png/150px-Sunburst_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/9/9d/Sunburst_Chapter_Icon.png/150px-Sunburst_Chapter_Icon.png', 'path': 'full/f7da70be5354334fc38dcea713ba45aa46e89f86.jpg', 'checksum': '106adb1cc6d2473833ffccfa9366d835'}]"
The Eye of the World,TEOTW,2,Chapter 29: Eyes Without Pity,9,58,https://library.tarvalon.net/images/thumb/4/40/Wolf_Chapter_Icon.png/180px-Wolf_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/4/40/Wolf_Chapter_Icon.png/180px-Wolf_Chapter_Icon.png', 'path': 'full/01e1d31af6682f01e416b6eaf6863ba3535abb17.jpg', 'checksum': '74de655bbf687710113ffb076f121468'}]"
The Eye of the World,TEOTW,2,Chapter 28: Footprints in Air,8,57,https://library.tarvalon.net/images/thumb/6/66/Staff_Chapter_Icon.png/150px-Staff_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/6/66/Staff_Chapter_Icon.png/150px-Staff_Chapter_Icon.png', 'path': 'full/144d8d2feba1ee02a85f242b9aa3befde74541f0.jpg', 'checksum': '8fae06b3a785c8acb55e5b3b5a0c3bd9'}]"
The Eye of the World,TEOTW,2,Chapter 27: Shelter From the Storm,7,56,https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png', 'path': 'full/d6823aa402b27f059d5b8c6dd52bb43f59bc0360.jpg', 'checksum': '82c8f79d3c39748a5248dd57f5aae1bb'}]"
The Eye of the World,TEOTW,2,Chapter 26: Whitebridge,6,55,https://library.tarvalon.net/images/thumb/3/30/Harp_Chapter_Icon.png/150px-Harp_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/30/Harp_Chapter_Icon.png/150px-Harp_Chapter_Icon.png', 'path': 'full/9aa3730570006a87eb9b778031af0138ce3c639f.jpg', 'checksum': '3380c30014d092ddb10447be11385470'}]"
The Eye of the World,TEOTW,2,Chapter 25: The Travelling People,5,54,https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/8/85/Three_Leaves_Chapter_Icon.png/300px-Three_Leaves_Chapter_Icon.png', 'path': 'full/d6823aa402b27f059d5b8c6dd52bb43f59bc0360.jpg', 'checksum': '82c8f79d3c39748a5248dd57f5aae1bb'}]"
The Eye of the World,TEOTW,2,Chapter 24: Flight Down the Arinelle,4,53,https://library.tarvalon.net/images/thumb/3/30/Harp_Chapter_Icon.png/150px-Harp_Chapter_Icon.png,"[{'url': 'https://library.tarvalon.net/images/thumb/3/30/Harp_Chapter_Icon.png/150px-Harp_Chapter_Icon.png', 'path': 'full/9aa3730570006a87eb9b778031af0138ce3c639f.jpg', 'checksum': '3380c30014d092ddb10447be11385470'}]"
